time,height,angle,dheight,dangle
0.000000000000000000e+00,1.149093206233806931e-02,-1.152421836910692861e+02,1.200000011758263874e+00,-1.200000011999560030e+02
2.000000000000000042e-02,-9.132739810435570860e+01,6.000000059752057524e-01,-1.800000017999545605e+02,5.943235533683043359e-01
4.000000000000000083e-02,8.903251145319986690e-13,-1.200000011999560314e+02,3.666733913237237297e-01,-2.110203027030503620e+02
5.999999999999999778e-02,-6.349725233657928336e-13,1.284422353281022278e-01,-1.656171724851019746e+02,5.400000053791194077e-01
8.000000000000000167e-02,1.779214262541367955e-02,-1.189573829966614937e+02,1.140000011270190905e+00,-1.080000010799637238e+02
1.000000000000000056e-01,-9.263577193019618505e+01,6.600000065707277708e-01,-1.800000017999545605e+02,6.102433915780081097e-01
1.199999999999999956e-01,6.000000059937883601e-02,-1.320000013199465911e+02,3.946742502881063208e-01,-2.144726948080782734e+02
1.400000000000000133e-01,-1.200000011999813410e+01,1.464406828507148206e-01,-1.705198884652618858e+02,4.800000047826669669e-01
1.600000000000000033e-01,2.409117470782304316e-02,-1.229108421625674765e+02,1.080000010702466984e+00,-9.600000095997022242e+01
1.799999999999999933e-01,-9.417915367905776236e+01,7.200000071656348366e-01,-1.800000017999545605e+02,6.249531297137526087e-01
2.000000000000000111e-01,1.200000011976834896e-01,-1.440000014399345503e+02,4.215815333267317055e-01,-2.176827254998035812e+02
2.200000000000000011e-01,-2.400000023999536580e+01,1.658104823892281865e-01,-1.754223174522556690e+02,4.200000041858500954e-01
2.399999999999999911e-01,3.108549096691583247e-02,-1.271021263842080060e+02,1.020000010121270728e+00,-8.400000083997581157e+01
2.600000000000000089e-01,-9.596359086703900232e+01,7.800000077597726289e-01,-1.800000017999545605e+02,6.384510091417157085e-01
2.800000000000000266e-01,1.800000017957922582e-01,-1.560000015599180188e+02,4.474884271421536441e-01,-2.206513542566327999e+02
2.999999999999999889e-01,-3.600000035999229198e+01,1.865852133954050140e-01,-1.803243518613340370e+02,3.600000035887154226e-01
3.200000000000000067e-01,3.904005573458837336e-02,-1.315309642749720922e+02,9.600000095344913831e-01,-7.200000071998069018e+01
3.400000000000000244e-01,-9.799123282233830423e+01,8.400000083529136630e-01,-1.800000017999545605e+02,6.507394706811674423e-01
3.599999999999999867e-01,2.400000023936901816e-01,-1.680000016798918523e+02,4.730328262824513574e-01,-2.233803815029795032e+02
3.800000000000000044e-01,-4.800000047998886288e+01,2.088438130718207331e-01,-1.852259293339492103e+02,3.000000029912994193e-01
4.000000000000000222e-01,4.808902574718538353e-02,-1.361973523978171841e+02,9.000000089446462681e-01,-6.000000059998499324e+01
4.199999999999999845e-01,-1.002623127535654817e+02,9.000000089447043328e-01,-1.800000017998298460e+02,6.618258101142984184e-01
4.400000000000000022e-01,3.000000029913587052e-01,-1.800000017998298460e+02,4.967273816041805068e-01,-2.258726349801185620e+02
4.600000000000000200e-01,-6.000000059998503588e+01,2.327615812573889109e-01,-1.901270896674424762e+02,2.400000023936308402e-01
4.799999999999999822e-01,5.831197157603892900e-02,-1.411017221392642398e+02,8.400000083528553763e-01,-4.800000047998882025e+01
5.000000000000000000e-01,-1.027762107176083077e+02,9.600000095345490037e-01,-1.680000016798918239e+02,6.717230158411878760e-01
5.200000000000000178e-01,3.600000035887747085e-01,-1.800000017999545605e+02,5.186554719564242522e-01,-2.281322187879070782e+02
5.400000000000000355e-01,-7.200000071998073281e+01,2.572739787551531765e-01,-1.947880633923130063e+02,1.800000017957328613e-01
5.600000000000000533e-01,6.976119218139613387e-02,-1.460051890319780341e+02,7.800000077597141201e-01,-3.600000035999224224e+01
5.799999999999999600e-01,-1.055320209314288888e+02,1.020000010121327572e+00,-1.560000015599179903e+02,6.804511270626343311e-01
5.999999999999999778e-01,4.200000041859093258e-01,-1.800000017999545605e+02,5.393622926971775033e-01,-2.301648884632977285e+02
6.199999999999999956e-01,-8.400000083997585421e+01,2.828581213124155003e-01,-1.992085160565530941e+02,1.200000011976240649e-01
6.400000000000000133e-01,8.247368733887422421e-02,-1.509083065934252943e+02,7.200000071655762168e-01,-2.400000023999531962e+01
6.600000000000000311e-01,-1.085288236013680461e+02,1.080000010702522273e+00,-1.440000014399345218e+02,6.880396997970062989e-01
6.800000000000000488e-01,4.800000047827260863e-01,-1.800000017999545605e+02,5.588762731815798412e-01,-2.319786598419181303e+02
7.000000000000000666e-01,-9.600000095997026506e+01,3.096084504665114201e-01,-2.033878173569150078e+02,6.000000059931937663e-02
7.199999999999999734e-01,9.647721069818637751e-02,-1.558113168749492843e+02,6.600000065706690400e-01,-1.200000011999808791e+01
7.399999999999999911e-01,-1.117657866941440403e+02,1.140000011270241975e+00,-1.320000013199465627e+02,6.945327316666064510e-01
7.600000000000000089e-01,5.400000053791784715e-01,-1.800000017999545605e+02,5.771987852373862138e-01,-2.335848540558132242e+02
7.800000000000000266e-01,-1.080000010799637664e+02,3.375459304456518983e-01,-2.073252670046024093e+02,8.308303557793449434e-13
8.000000000000000444e-01,1.117937885949990134e-01,-1.607142845085170109e+02,6.000000059751469106e-01,-5.866784053534293840e-13
