FILE_NAME=Trajectory_L4ToStow.csv,T=0.28,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.22,penalty_strength=10000000.0
time,height,angle_deg,dh,dtheta_rad_s
0.000000000000000000e+00,6.999999999999999556e-01,-2.350000000000000000e+02,-1.561957059568551035e-41,1.412829289529891134e-40
1.000000000000000021e-03,6.999999999999999556e-01,-2.350000000000000000e+02,-1.002118627034179373e-02,2.611492506550235904e-01
2.000000000000000042e-03,6.999899788137295964e-01,-2.349850372501144307e+02,-2.015955680902944622e-02,5.200932667858579883e-01
3.000000000000000062e-03,6.999698192569205890e-01,-2.349552381009744124e+02,-3.041511262990001518e-02,7.768320742869045947e-01
4.000000000000000083e-03,6.999394041442906778e-01,-2.349107289017273672e+02,-4.078785475850908032e-02,1.031365698832044320e+00
5.000000000000000104e-03,6.998986162895320939e-01,-2.348516360000497798e+02,-5.127778423213086301e-02,1.283694165874639692e+00
6.000000000000000125e-03,6.998473385053000095e-01,-2.347780857421595613e+02,-6.188490209975829742e-02,1.533817500647537191e+00
7.000000000000000146e-03,6.997854536032003248e-01,-2.346902044728291514e+02,-7.260920942210317974e-02,1.781735728163070576e+00
8.000000000000000167e-03,6.997128443937782327e-01,-2.345881185353977969e+02,-8.345070727159624446e-02,2.027448873213062441e+00
9.000000000000001055e-03,6.996293936865066732e-01,-2.344719542717841136e+02,-9.440939673238726848e-02,2.270956960368827104e+00
1.000000000000000021e-02,6.995349842897743420e-01,-2.343418380224991040e+02,-1.054852789003452029e-01,2.512260013981173934e+00
1.099999999999999936e-02,6.994294990108740340e-01,-2.341978961266584918e+02,-1.166783548830582495e-01,2.751358058180406907e+00
1.200000000000000025e-02,6.993128206559909854e-01,-2.340402549219955119e+02,-1.279886257998340271e-01,2.988251116876331714e+00
1.300000000000000114e-02,6.991848320301911057e-01,-2.338690407448732174e+02,-1.394160927816996132e-01,3.222939213758254429e+00
1.400000000000000029e-02,6.990454159374094312e-01,-2.336843799302976379e+02,-1.509607569714017106e-01,3.455422372294983724e+00
1.499999999999999944e-02,6.988944551804380234e-01,-2.334863988119301155e+02,-1.626226195234067584e-01,3.685700615734835761e+00
1.600000000000000033e-02,6.987318325609146452e-01,-2.332752237220996960e+02,-1.744016816039009876e-01,3.913773967105635077e+00
1.700000000000000122e-02,6.985574308793106590e-01,-2.330509809918164024e+02,-1.862979443907905874e-01,4.139642449214716358e+00
1.800000000000000211e-02,6.983711329349199248e-01,-2.328137969507831713e+02,-1.983114090737018997e-01,4.363306084648929328e+00
1.899999999999999953e-02,6.981728215258462544e-01,-2.325637979274090412e+02,-2.104420768539813358e-01,4.584764895774635640e+00
2.000000000000000042e-02,6.979623794489923094e-01,-2.323011102488214306e+02,-2.226899489446956815e-01,4.804018904737717754e+00
2.100000000000000130e-02,6.977396895000476107e-01,-2.320258602408788988e+02,-2.350550265706321529e-01,5.021068133463575833e+00
2.199999999999999872e-02,6.975046344734768811e-01,-2.317381742281838228e+02,-2.475373109682985351e-01,5.235912603657132181e+00
2.299999999999999961e-02,6.972570971625086100e-01,-2.314381785340949023e+02,-2.601368033859232654e-01,5.448552336802834795e+00
2.400000000000000050e-02,6.969969603591226193e-01,-2.311259994807399778e+02,-2.728535050834555165e-01,5.658987354164657368e+00
2.500000000000000139e-02,6.967241068540391824e-01,-2.308017633890284230e+02,-2.856874173325655852e-01,5.867217676786100178e+00
2.600000000000000228e-02,6.964384194367065906e-01,-2.304655965786640763e+02,-2.986385414166445318e-01,6.073243325490197186e+00
2.699999999999999969e-02,6.961397808952898281e-01,-2.301176253681574337e+02,-3.117068786308048733e-01,6.277064320879512493e+00
2.800000000000000058e-02,6.958280740166590261e-01,-2.297579760748388935e+02,-3.248924302818803622e-01,6.478680683336144774e+00
2.900000000000000147e-02,6.955031815863771394e-01,-2.293867750148707785e+02,-3.381951976884260413e-01,6.678092433021731722e+00
2.999999999999999889e-02,6.951649863886887326e-01,-2.290041485032604101e+02,-3.516151821807187994e-01,6.875299589877447382e+00
3.099999999999999978e-02,6.948133712065079903e-01,-2.286102228538724148e+02,-3.651523851007569821e-01,7.070302173624008368e+00
3.200000000000000067e-02,6.944482188214072815e-01,-2.282051243794415711e+02,-3.788068078022608920e-01,7.263100203761671203e+00
3.300000000000000155e-02,6.940694120136049472e-01,-2.277889793915854284e+02,-3.925784516506728439e-01,7.453693699570240305e+00
3.400000000000000244e-02,6.936768335619543091e-01,-2.273619142008167842e+02,-4.064673180231571648e-01,7.642082680109064441e+00
3.500000000000000333e-02,6.932703662439311243e-01,-2.269240551165565023e+02,-4.204734083086005825e-01,7.828267164217043828e+00
3.600000000000000422e-02,6.928498928356225939e-01,-2.264755284471460186e+02,-4.345967239076120037e-01,8.012247170512623029e+00
3.699999999999999817e-02,6.924152961117149285e-01,-2.260164604998600169e+02,-4.488372662325230689e-01,8.194022717393806943e+00
3.799999999999999906e-02,6.919664588454824683e-01,-2.255469775809190196e+02,-4.631950367073879860e-01,8.373593823038145700e+00
3.899999999999999994e-02,6.915032638087750261e-01,-2.250672059955021211e+02,-4.776700367679838077e-01,8.550960505402754208e+00
4.000000000000000083e-02,6.910255937720070074e-01,-2.245772720477594930e+02,-4.922622678618105985e-01,8.726122782224299712e+00
4.100000000000000172e-02,6.905333315041451980e-01,-2.240773020408250886e+02,-5.069717314480913783e-01,8.899080671019008903e+00
4.200000000000000261e-02,6.900263597726971065e-01,-2.235674222768292623e+02,-5.217984289977725121e-01,9.069834189082669695e+00
4.300000000000000350e-02,6.895045613436993071e-01,-2.230477590569113602e+02,-5.367423619935238754e-01,9.238383353490634775e+00
4.399999999999999745e-02,6.889678189817057818e-01,-2.225184386812324533e+02,-5.518035319297386332e-01,9.404728181097821604e+00
4.499999999999999833e-02,6.884160154497760420e-01,-2.219795874489877860e+02,-5.669819403125337942e-01,9.568868688538712419e+00
4.599999999999999922e-02,6.878490335094634700e-01,-2.214313316584196514e+02,-5.822775886597502115e-01,9.730804892227359559e+00
4.700000000000000011e-02,6.872667559208037735e-01,-2.208737976068297542e+02,-5.976904785009526933e-01,9.890536808357380139e+00
4.800000000000000100e-02,6.866690654423027729e-01,-2.203071115905920578e+02,-6.132206113774302247e-01,1.004806445290196670e+01
4.900000000000000189e-02,6.860558448309252988e-01,-2.197313999051653468e+02,-6.288679888421961905e-01,1.020338784161388546e+01
5.000000000000000278e-02,6.854269768420830911e-01,-2.191467888451057604e+02,-6.446326124599882634e-01,1.035650699002547093e+01
5.100000000000000366e-02,6.847823442296231411e-01,-2.185534047040795826e+02,-6.605144838072688485e-01,1.050742191344864374e+01
5.200000000000000455e-02,6.841218297458159237e-01,-2.179513737748756910e+02,-6.765136044722250830e-01,1.065613262697489105e+01
5.299999999999999850e-02,6.834453161413436284e-01,-2.173408223494184028e+02,-6.926299760547689477e-01,1.080263914547528969e+01
5.399999999999999939e-02,6.827526861652889467e-01,-2.167218767187798392e+02,-7.088636001665375996e-01,1.094694148360048658e+01
5.500000000000000028e-02,6.820438225651224151e-01,-2.160946631731928278e+02,-7.252144784308935943e-01,1.108903965578071826e+01
5.600000000000000117e-02,6.813186080866915351e-01,-2.154593080020634090e+02,-7.416826124829246636e-01,1.122893367622580207e+01
5.700000000000000205e-02,6.805769254742085606e-01,-2.148159374939833413e+02,-7.582680039694441598e-01,1.136662355892513787e+01
5.800000000000000294e-02,6.798186574702390628e-01,-2.141646779367429758e+02,-7.749706545489912779e-01,1.150210931764771694e+01
5.900000000000000383e-02,6.790436868156900507e-01,-2.135056556173436491e+02,-7.917905658918310552e-01,1.163539096594211131e+01
5.999999999999999778e-02,6.782518962497982029e-01,-2.128389968220105004e+02,-8.087277396799547047e-01,1.176646851713648978e+01
6.099999999999999867e-02,6.774431685101183209e-01,-2.121648278362050348e+02,-8.257821776070796149e-01,1.189534198433860546e+01
6.199999999999999956e-02,6.766173863325112281e-01,-2.114832749446376567e+02,-8.429538813786494611e-01,1.202201138043580464e+01
6.300000000000000044e-02,6.757744324511325562e-01,-2.107944644312804598e+02,-8.602428527118347601e-01,1.214647671809502860e+01
6.400000000000000133e-02,6.749141895984206441e-01,-2.100985225793797042e+02,-8.776490933355325375e-01,1.226873800976280826e+01
6.500000000000000222e-02,6.740365405050851022e-01,-2.093955756714685492e+02,-8.951726049903667715e-01,1.238879526766527484e+01
6.600000000000000311e-02,6.731413679000948225e-01,-2.086857499893796728e+02,-9.128133894286888372e-01,1.250664850380815452e+01
6.700000000000000400e-02,6.722285545106660987e-01,-2.079691718142578623e+02,-9.305714484145771737e-01,1.262229772997677024e+01
6.800000000000000488e-02,6.712979830622515243e-01,-2.072459674265726335e+02,-9.484467837238375054e-01,1.273574295773604348e+01
6.900000000000000577e-02,6.703495362785276690e-01,-2.065162631061309071e+02,-9.664393971440033981e-01,1.284698419843049955e+01
7.000000000000000666e-02,6.693830968813837545e-01,-2.057801851320895707e+02,-9.845492904743362583e-01,1.295602146318426051e+01
7.100000000000000755e-02,6.683985475909094420e-01,-2.050378597829682121e+02,-1.002776465525825333e+00,1.306285476290105230e+01
7.200000000000000844e-02,6.673957711253836189e-01,-2.042894133366615961e+02,-1.021120924121188267e+00,1.316748410826420823e+01
7.299999999999999545e-02,6.663746502012624084e-01,-2.035349720704524827e+02,-1.039582668094870765e+00,1.326990950973666017e+01
7.399999999999999634e-02,6.653350675331675124e-01,-2.027746622610240479e+02,-1.058161699293047375e+00,1.337013097756094915e+01
7.499999999999999722e-02,6.642769058338745536e-01,-2.020086101844726727e+02,-1.076858019573621261e+00,1.346814852175922006e+01
7.599999999999999811e-02,6.632000478143008637e-01,-2.012369421163205061e+02,-1.095671630806224206e+00,1.356396215213322876e+01
7.699999999999999900e-02,6.621043761834946029e-01,-2.004597843315281125e+02,-1.114602534872217499e+00,1.365757187826433849e+01
7.799999999999999989e-02,6.609897736486224362e-01,-1.996772631045069772e+02,-1.133650733664691490e+00,1.374897770951352172e+01
7.900000000000000078e-02,6.598561229149576546e-01,-1.988895047091323818e+02,-1.152816229088466038e+00,1.383817965502136360e+01
8.000000000000000167e-02,6.587033066858691832e-01,-1.980966354187558807e+02,-1.172099023060090950e+00,1.392517772370805318e+01
8.100000000000000255e-02,6.575312076628091473e-01,-1.972987815062178356e+02,-1.191499117507845096e+00,1.400997192427340288e+01
8.200000000000000344e-02,6.563397085453013258e-01,-1.964960692438601768e+02,-1.211016514371738406e+00,1.409256226519683075e+01
8.300000000000000433e-02,6.551286920309296047e-01,-1.956886249035390790e+02,-1.230651215603510540e+00,1.417294875473736937e+01
8.400000000000000522e-02,6.538980408153260981e-01,-1.948765747566374102e+02,-1.250403223166631106e+00,1.425113140093366937e+01
8.500000000000000611e-02,6.526476375921593798e-01,-1.940600450740775500e+02,-1.270272539036301440e+00,1.432711021160399767e+01
8.600000000000000699e-02,6.513773650531231585e-01,-1.932391621263338664e+02,-1.290259165199452829e+00,1.440088519434623215e+01
8.700000000000000788e-02,6.500871058879236219e-01,-1.924140521834453637e+02,-1.310363103654747841e+00,1.447245635653787055e+01
8.799999999999999489e-02,6.487767427842688894e-01,-1.915848415150284723e+02,-1.330584356412580771e+00,1.454182370533602864e+01
8.899999999999999578e-02,6.474461584278563553e-01,-1.907516563902894120e+02,-1.350922925495076532e+00,1.460898724767744383e+01
8.999999999999999667e-02,6.460952355023612537e-01,-1.899146230780370388e+02,-1.371378812936091762e+00,1.467394699027846983e+01
9.099999999999999756e-02,6.447238566894252232e-01,-1.890738678466953786e+02,-1.391952020781215937e+00,1.473670293963508193e+01
9.199999999999999845e-02,6.433319046686439835e-01,-1.882295169643162751e+02,-1.412642551087769149e+00,1.479725510202287175e+01
9.299999999999999933e-02,6.419192621175561220e-01,-1.873816966985919237e+02,-1.433450405924804771e+00,1.485560348349705784e+01
9.400000000000000022e-02,6.404858117116313254e-01,-1.865305333168677180e+02,-1.454375587373108347e+00,1.491174808989247680e+01
9.500000000000000111e-02,6.390314361242581676e-01,-1.856761530861546134e+02,-1.475418097525197592e+00,1.496568892682359220e+01
9.600000000000000200e-02,6.375560180267330068e-01,-1.848186822731419454e+02,-1.496577938485323944e+00,1.501742599968448744e+01
9.700000000000000289e-02,6.360594400882476629e-01,-1.839582471442099916e+02,-1.517855112369471460e+00,1.506695931364886576e+01
9.800000000000000377e-02,6.345415849758782034e-01,-1.830949739654425628e+02,-1.539249621305357252e+00,1.511428887367006091e+01
9.900000000000000466e-02,6.330023353545728426e-01,-1.822289890026397359e+02,-1.560761467432432603e+00,1.515941468448103180e+01
1.000000000000000056e-01,6.314415738871405059e-01,-1.813604185213303310e+02,-1.582390652901881856e+00,1.520233675059435363e+01
1.010000000000000064e-01,6.298591832342386176e-01,-1.804893887867846445e+02,-1.604137179876623742e+00,1.524305507630223744e+01
1.020000000000000073e-01,6.282550460543619986e-01,-1.796160260640270678e+02,-1.626001050531310721e+00,1.528156966567651587e+01
1.030000000000000082e-01,6.266290450038307647e-01,-1.787404566178486505e+02,-1.647982267052330307e+00,1.531788052256864496e+01
1.040000000000000091e-01,6.249810627367783367e-01,-1.778628067128198040e+02,-1.670080831637803520e+00,1.535198765060971127e+01
1.049999999999999961e-01,6.233109819051405598e-01,-1.769832026133029217e+02,-1.692296746497587323e+00,1.538389105321042827e+01
1.059999999999999970e-01,6.216186851586430473e-01,-1.761017705834649121e+02,-1.714630013853272850e+00,1.541359073356113818e+01
1.069999999999999979e-01,6.199040551447897451e-01,-1.752186368872899038e+02,-1.737080635938186957e+00,1.544108669463180661e+01
1.079999999999999988e-01,6.181669745088514967e-01,-1.743339277885918648e+02,-1.759648614997392002e+00,1.546637893917202966e+01
1.089999999999999997e-01,6.164073258938541633e-01,-1.734477695510272781e+02,-1.782333953287685624e+00,1.548946746971103217e+01
1.100000000000000006e-01,6.146249919405664119e-01,-1.725602884381076763e+02,-1.805136653077601849e+00,1.551035228855766768e+01
1.110000000000000014e-01,6.128198552874888350e-01,-1.716716107132122033e+02,-1.828056716647410651e+00,1.552903339780041669e+01
1.120000000000000023e-01,6.109917985708415156e-01,-1.707818626396005470e+02,-1.851094146289118614e+00,1.554551079930739199e+01
1.130000000000000032e-01,6.091407044245523705e-01,-1.698911704804251599e+02,-1.874248944306468267e+00,1.555978449472633329e+01
1.140000000000000041e-01,6.072664554802459369e-01,-1.689996604987442481e+02,-1.897521113014939642e+00,1.557185448548460727e+01
1.150000000000000050e-01,6.053689343672309375e-01,-1.681074589575341349e+02,-1.920910654741749379e+00,1.558172077278921819e+01
1.160000000000000059e-01,6.034480237124892898e-01,-1.672146921197019651e+02,-1.944417571825852065e+00,1.558938335762679195e+01
1.170000000000000068e-01,6.015036061406633383e-01,-1.663214862480984664e+02,-1.968041866617938895e+00,1.559484224076358494e+01
1.180000000000000077e-01,5.995355642740454183e-01,-1.654279676055303696e+02,-1.991783541480439901e+00,1.559809742274548938e+01
1.190000000000000085e-01,5.975437807325648665e-01,-1.645342624547731702e+02,-2.015642598787522388e+00,1.559914890389802267e+01
1.199999999999999956e-01,5.955281381337773627e-01,-1.636404970585836907e+02,-2.039619040925091831e+00,1.559799668432632913e+01
1.209999999999999964e-01,5.934885190928522736e-01,-1.627467976797127278e+02,-2.063712870290792534e+00,1.559464076391519072e+01
1.219999999999999973e-01,5.914248062225614389e-01,-1.618532905809177294e+02,-2.087924089294007413e+00,1.558908114232901632e+01
1.229999999999999982e-01,5.893368821332674035e-01,-1.609601020249752708e+02,-2.112252700355858437e+00,1.558131781901183999e+01
1.239999999999999991e-01,5.872246294329115379e-01,-1.600673582746939303e+02,-2.136698705909207074e+00,1.557135079318733339e+01
1.250000000000000000e-01,5.850879307270023810e-01,-1.591751855929265957e+02,-2.161262108398652959e+00,1.555918006385878982e+01
1.260000000000000009e-01,5.829266686186036495e-01,-1.582837102425833962e+02,-2.185942910280537443e+00,1.554480562980913838e+01
1.270000000000000018e-01,5.807407257083231356e-01,-1.573930584866441507e+02,-2.210741114022939602e+00,1.552822748960093513e+01
1.280000000000000027e-01,5.785299845943001618e-01,-1.565033565881709876e+02,-2.235656722105680672e+00,1.550944564157636663e+01
1.290000000000000036e-01,5.762943278721944784e-01,-1.556147308103211060e+02,-2.260689737020321388e+00,1.548846008385724815e+01
1.300000000000000044e-01,5.740336381351741624e-01,-1.547273074163592526e+02,-2.285840161270163318e+00,1.546527081434502371e+01
1.310000000000000053e-01,5.717477979739039595e-01,-1.538412126696704263e+02,-2.311107997370248412e+00,1.543987783072076780e+01
1.320000000000000062e-01,5.694366899765337386e-01,-1.529565728337725261e+02,-2.336493247847360344e+00,1.541228113044517833e+01
1.330000000000000071e-01,5.671001967286862788e-01,-1.520735141723288848e+02,-2.361995915240024058e+00,1.538248071075859080e+01
1.340000000000000080e-01,5.647382008134462783e-01,-1.511921629491610304e+02,-2.387616002098506662e+00,1.535047656868095700e+01
1.350000000000000089e-01,5.623505848113478089e-01,-1.503126454282611348e+02,-2.413353510984816541e+00,1.531626870101186633e+01
1.360000000000000098e-01,5.599372313003628809e-01,-1.494350878738048607e+02,-2.439208444472705128e+00,1.527985710433053157e+01
1.370000000000000107e-01,5.574980228558902295e-01,-1.485596165501637245e+02,-2.465180805147665133e+00,1.524124177499579247e+01
1.380000000000000115e-01,5.550328420507425475e-01,-1.476863577219180002e+02,-2.491270595606932758e+00,1.520042270914611748e+01
1.390000000000000124e-01,5.525415714551356050e-01,-1.468154376538691110e+02,-2.517477818459487704e+00,1.515739990269959847e+01
1.400000000000000133e-01,5.500240936366760369e-01,-1.459469826110524195e+02,-2.543802476326051387e+00,1.511217335135395601e+01
1.410000000000000142e-01,5.474802911603500188e-01,-1.450811188587497611e+02,-2.570244571839090053e+00,1.506474305058653407e+01
1.420000000000000151e-01,5.449100465885109434e-01,-1.442179726625021203e+02,-2.596804107642812998e+00,1.501510899565430179e+01
1.430000000000000160e-01,5.423132424808680963e-01,-1.433576702881222218e+02,-2.623481086393173900e+00,1.496327118159385527e+01
1.440000000000000169e-01,5.396897613944748873e-01,-1.425003380017071493e+02,-2.650275510757870823e+00,1.490922960322141400e+01
1.449999999999999900e-01,5.370394858837170826e-01,-1.416461020696510786e+02,-2.677187383416346211e+00,1.485298425513281728e+01
1.459999999999999909e-01,5.343622985003007031e-01,-1.407950887586576698e+02,-2.704216707059786895e+00,1.479453513170353318e+01
1.469999999999999918e-01,5.316580817932409220e-01,-1.399474243357530554e+02,-2.731363484391125418e+00,1.473388222708864603e+01
1.479999999999999927e-01,5.289267183088498525e-01,-1.391032350682980621e+02,-2.758627718125039596e+00,1.467102553522286890e+01
1.489999999999999936e-01,5.261680905907247796e-01,-1.382626472240011140e+02,-2.786009410987952961e+00,1.460596504982052934e+01
1.499999999999999944e-01,5.233820811797368355e-01,-1.374257870709307952e+02,-2.813508565718034760e+00,1.453870076437558190e+01
1.509999999999999953e-01,5.205685726140187874e-01,-1.365927808775284404e+02,-2.841125185065200398e+00,1.446923267216159559e+01
1.519999999999999962e-01,5.177274474289536021e-01,-1.357637549126207830e+02,-2.868859271791111443e+00,1.439756076623176106e+01
1.529999999999999971e-01,5.148585881571625666e-01,-1.349388354454325736e+02,-2.896710828669177840e+00,1.432368503941889060e+01
1.539999999999999980e-01,5.119618773284934088e-01,-1.341181487455991999e+02,-2.924679858484553474e+00,1.424760548433540919e+01
1.549999999999999989e-01,5.090371974700087510e-01,-1.333018210831793340e+02,-2.952766364034142388e+00,1.416932209337336168e+01
1.559999999999999998e-01,5.060844311059745637e-01,-1.324899787286675803e+02,-2.980970348126594782e+00,1.408883485870440921e+01
1.570000000000000007e-01,5.031034607578480644e-01,-1.316827479530070377e+02,-3.009291813582309238e+00,1.400614377227982921e+01
1.580000000000000016e-01,5.000941689442657268e-01,-1.308802550276019758e+02,-3.037730763233432274e+00,1.392124882583051004e+01
1.590000000000000024e-01,4.970564381810322896e-01,-1.300826262243304257e+02,-3.066287199923859230e+00,1.383415001086696172e+01
1.600000000000000033e-01,4.939901509811084335e-01,-1.292899878155568842e+02,-3.094961126509232940e+00,1.374484731867929810e+01
1.610000000000000042e-01,4.908951898545991788e-01,-1.285024660741448770e+02,-3.123752545856947282e+00,1.365334074033725287e+01
1.620000000000000051e-01,4.877714373087422284e-01,-1.277201872734695343e+02,-3.152661460846143182e+00,1.355963026669016713e+01
1.630000000000000060e-01,4.846187758478961438e-01,-1.269432776874303244e+02,-3.181687874367712165e+00,1.346371588836699473e+01
