FILE_NAME=Trajectory_StowToL4.csv,T=0.28,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
0.000000000000000000e+00,0.000000000000000000e+00,-9.300000000000000000e+01,7.358220863604235048e-40,2.234445911886867991e-40
1.000000000000000021e-03,5.493089980153282918e-43,-9.300000000000000000e+01,2.407397826430691112e-01,-1.054225210823421695e-02
2.000000000000000042e-03,2.407397826430691002e-04,-9.300060402655238079e+01,4.752911118821452896e-01,-1.953075308979760824e-02
3.000000000000000062e-03,7.160308945252144130e-04,-9.300172305627513936e+01,7.036540873705944277e-01,-2.732316428301868189e-02
4.000000000000000083e-03,1.419684981895808851e-03,-9.300328855827149255e+01,9.258288807212187166e-01,-3.422525083133933638e-02
5.000000000000000104e-03,2.345513862617027313e-03,-9.300524952069689277e+01,1.141815746762083084e+00,-4.050154192154999111e-02
6.000000000000000125e-03,3.487329609379110924e-03,-9.300757008811277160e+01,1.351615031319331806e+00,-4.638468051894930472e-02
7.000000000000000146e-03,4.838944640698442622e-03,-9.301022773454057813e+01,1.555227178177486458e+00,-5.208362934822985402e-02
8.000000000000000167e-03,6.394171818875928580e-03,-9.301321190668394934e+01,1.752652737112023962e+00,-5.779089393318170148e-02
9.000000000000001055e-03,8.146824555987952285e-03,-9.301652308100059940e+01,1.943892374467810269e+00,-6.368891063291104437e-02
1.000000000000000021e-02,1.009071693045576236e-02,-9.302017218678165023e+01,2.128946887578496927e+00,-6.995572998997459657e-02
1.099999999999999936e-02,1.221966381803425879e-02,-9.302418035486283543e+01,2.307817224328373662e+00,-7.677010496147365637e-02
1.200000000000000025e-02,1.452748104236263257e-02,-9.302857895786991094e+01,2.480504509315868855e+00,-8.431607091984016922e-02
1.300000000000000114e-02,1.700798555167850126e-02,-9.303340991287872441e+01,2.647010078370907404e+00,-9.278708054593919063e-02
1.400000000000000029e-02,1.965499563004940997e-02,-9.303872622098735690e+01,2.807335523603240013e+00,-1.023897325419349802e-01
1.499999999999999944e-02,2.246233115365265168e-02,-9.304459272052747565e+01,2.961482751720637019e+00,-1.133471089991433534e-01
1.600000000000000033e-02,2.542381390537329020e-02,-9.305108703149315375e+01,3.109454059064939102e+00,-1.259017127670401248e-01
1.700000000000000122e-02,2.853326796443822824e-02,-9.305830066826817415e+01,3.251252227682523532e+00,-1.403179738138123633e-01
1.800000000000000211e-02,3.178452019212075347e-02,-9.306634029595754498e+01,3.386880647784631826e+00,-1.568842729517363754e-01
1.899999999999999953e-02,3.517140083990538679e-02,-9.307532910266964166e+01,3.516343473167057532e+00,-1.759144131290779622e-01
2.000000000000000042e-02,3.868774431307244605e-02,-9.308540825609746605e+01,3.639645817542256356e+00,-1.977484535783384789e-01
2.100000000000000130e-02,4.232739013061469907e-02,-9.309673840789274379e+01,3.756794001267643512e+00,-2.227528113651178476e-01
2.199999999999999872e-02,4.608418413188234558e-02,-9.310950120385864182e+01,3.867795859586093066e+00,-2.513195292657210422e-01
2.299999999999999961e-02,4.995197999146844259e-02,-9.312390075219478547e+01,3.972661125152485706e+00,-2.838646093783608881e-01
2.400000000000000050e-02,5.392464111662092358e-02,-9.314016499626528400e+01,4.071401899190226104e+00,-3.208253193321081165e-01
2.500000000000000139e-02,5.799604301581114812e-02,-9.315854693302395617e+01,4.164033226947283950e+00,-3.626563931270444519e-01
2.600000000000000228e-02,6.216007624275843302e-02,-9.317932561376355238e+01,4.250573793998860594e+00,-4.098250719863610891e-01
2.699999999999999969e-02,6.641065003675729328e-02,-9.320280686072703702e+01,4.331046760122519323e+00,-4.628049622362622739e-01
2.800000000000000058e-02,7.074169679687980494e-02,-9.322932363180088089e+01,4.405480746659102387e+00,-5.220687268133133996e-01
2.900000000000000147e-02,7.514717754353890389e-02,-9.325923596646303793e+01,4.473910991146492044e+00,-5.880796736699132055e-01
2.999999999999999889e-02,7.962108853468539971e-02,-9.329293044978174976e+01,4.536380679240994418e+00,-6.612823566784320484e-01
3.099999999999999978e-02,8.415746921392640301e-02,-9.333081913788589645e+01,4.592942458208053580e+00,-7.420923606210380052e-01
3.200000000000000067e-02,8.875041167213446047e-02,-9.337333789815838259e+01,4.643660128309697654e+00,-8.308854989589444795e-01
3.300000000000000155e-02,9.339407180044415058e-02,-9.342094413050735113e+01,4.688610498075241217e+00,-9.279867083218648061e-01
3.400000000000000244e-02,9.808268229851939413e-02,-9.347411385233843362e+01,4.727885376689510366e+00,-1.033658973765172906e+00
3.500000000000000333e-02,1.028105676752089082e-01,-9.353333814899099252e+01,4.761593661727171245e+00,-1.148092660417506794e+00
3.600000000000000422e-02,1.075721613369360757e-01,-9.359911901292286984e+01,4.789863463578392988e+00,-1.271395656911779248e+00
3.699999999999999817e-02,1.123620248005144789e-01,-9.367196461815517239e+01,4.812844189764955871e+00,-1.403584751052409541e+00
3.799999999999999906e-02,1.171748689902794294e-01,-9.375238410057940541e+01,4.830708493791414426e+00,-1.544578656236849534e+00
3.899999999999999994e-02,1.220055774840708429e-01,-9.384088193870775285e+01,4.843653975282888879e+00,-1.694193086789605340e+00
4.000000000000000083e-02,1.268492314593537285e-01,-9.393795205226103917e+01,4.851904502161723975e+00,-1.852138241192923029e+00
4.100000000000000172e-02,1.317011359615154198e-01,-9.404407175655617834e+01,4.855711012824505346e+00,-2.018018994983629799e+00
4.200000000000000261e-02,1.365568469743399516e-01,-9.415969572794597298e+01,4.855351647991152042e+00,-2.191338031802388731e+00
4.300000000000000350e-02,1.414121986223310923e-01,-9.428525014865475384e+01,4.851131059259166101e+00,-2.371502054840959328e+00
4.399999999999999745e-02,1.462633296815902817e-01,-9.442112720750374422e+01,4.843378745290141119e+00,-2.557831125828057939e+00
4.499999999999999833e-02,1.511067084268804261e-01,-9.456768013572089160e+01,4.832446277478073426e+00,-2.749571079553977171e+00
